Mundiales,Clasificatorias,Paises
2018,FASE GRUPO,ARGENTINA
2018,OCTAVOS,ARGENTINA
2014,CUARTOS,ARGENTINA
2014,FASE GRUPO,ARGENTINA
2014,FINAL,ARGENTINA
2014,OCTAVOS,ARGENTINA
2014,SEMIFINALES,ARGENTINA
2010,CUARTOS,ARGENTINA
2010,FASE GRUPO,ARGENTINA
2010,OCTAVOS,ARGENTINA
2006,CUARTOS,ARGENTINA
2006,FASE GRUPO,ARGENTINA
2006,OCTAVOS,ARGENTINA
2002,FASE GRUPO,ARGENTINA
1998,CUARTOS,ARGENTINA
1998,FASE GRUPO,ARGENTINA
1998,OCTAVOS,ARGENTINA
1994,FASE GRUPO,ARGENTINA
1994,OCTAVOS,ARGENTINA
1990,CUARTOS,ARGENTINA
1990,FASE GRUPO,ARGENTINA
1990,FINAL,ARGENTINA
1990,OCTAVOS,ARGENTINA
1990,SEMIFINALES,ARGENTINA
1986,CAMPEON,ARGENTINA
1986,CUARTOS,ARGENTINA
1986,FASE GRUPO,ARGENTINA
1986,FINAL,ARGENTINA
1986,OCTAVOS,ARGENTINA
1986,SEMIFINALES,ARGENTINA
1982,FASE GRUPO,ARGENTINA
1982,OCTAVOS,ARGENTINA
