Mundiales,Clasificatorias,Paises
2018,CUARTOS,BRASIL
2018,FASE GRUPO,BRASIL
2018,OCTAVOS,BRASIL
2014,CUARTOS,BRASIL
2014,FASE GRUPO,BRASIL
2014,OCTAVOS,BRASIL
2014,SEMIFINALES,BRASIL
2010,CUARTOS,BRASIL
2010,FASE GRUPO,BRASIL
2010,OCTAVOS,BRASIL
2006,CUARTOS,BRASIL
2006,FASE GRUPO,BRASIL
2006,OCTAVOS,BRASIL
2002,CUARTOS,BRASIL
2002,FASE GRUPO,BRASIL
2002,FINAL,BRASIL
2002,OCTAVOS,BRASIL
2002,SEMIFINALES,BRASIL
1998,CUARTOS,BRASIL
1998,FASE GRUPO,BRASIL
1998,FINAL,BRASIL
1998,OCTAVOS,BRASIL
1998,SEMIFINALES,BRASIL
1994,CAMPEON,BRASIL
1994,CUARTOS,BRASIL
1994,FASE GRUPO,BRASIL
1994,FINAL,BRASIL
1994,OCTAVOS,BRASIL
1994,SEMIFINALES,BRASIL
1990,FASE GRUPO,BRASIL
1990,OCTAVOS,BRASIL
1986,CUARTOS,BRASIL
1986,FASE GRUPO,BRASIL
1986,OCTAVOS,BRASIL
1982,CUARTOS,BRASIL
1982,FASE GRUPO,BRASIL
1982,OCTAVOS,BRASIL
