Mundiales,Clasificatorias,Paises
2018,FASE GRUPO,ESPANA
2018,OCTAVOS,ESPANA
2014,FASE GRUPO,ESPANA
2010,CAMPEON,ESPANA
2010,CUARTOS,ESPANA
2010,FASE GRUPO,ESPANA
2010,FINAL,ESPANA
2010,OCTAVOS,ESPANA
2010,SEMIFINALES,ESPANA
2006,FASE GRUPO,ESPANA
2006,OCTAVOS,ESPANA
2002,CUARTOS,ESPANA
2002,FASE GRUPO,ESPANA
2002,OCTAVOS,ESPANA
1998,FASE GRUPO,ESPANA
1994,CUARTOS,ESPANA
1994,FASE GRUPO,ESPANA
1994,OCTAVOS,ESPANA
1990,FASE GRUPO,ESPANA
1990,OCTAVOS,ESPANA
1986,CUARTOS,ESPANA
1986,FASE GRUPO,ESPANA
1986,OCTAVOS,ESPANA
1982,FASE GRUPO,ESPANA
1982,OCTAVOS,ESPANA
