Mundiales,Clasificatorias,Paises
2018,CAMPEON,FRANCIA
2018,CUARTOS,FRANCIA
2018,FASE GRUPO,FRANCIA
2018,FINAL,FRANCIA
2018,OCTAVOS,FRANCIA
2018,SEMIFINALES,FRANCIA
2014,CUARTOS,FRANCIA
2014,FASE GRUPO,FRANCIA
2014,OCTAVOS,FRANCIA
2010,NO CLASIFICO,FRANCIA
2006,CUARTOS,FRANCIA
2006,FASE GRUPO,FRANCIA
2006,FINAL,FRANCIA
2006,OCTAVOS,FRANCIA
2006,SEMIFINALES,FRANCIA
2002,NO CLASIFICO,FRANCIA
1998,CAMPEON,FRANCIA
1998,CUARTOS,FRANCIA
1998,FASE GRUPO,FRANCIA
1998,FINAL,FRANCIA
1998,OCTAVOS,FRANCIA
1998,SEMIFINALES,FRANCIA
1994,NO CLASIFICO,FRANCIA
1990,NO CLASIFICO,FRANCIA
1986,CUARTOS,FRANCIA
1986,FASE GRUPO,FRANCIA
1986,OCTAVOS,FRANCIA
1986,SEMIFINALES,FRANCIA
1982,CUARTOS,FRANCIA
1982,FASE GRUPO,FRANCIA
1982,OCTAVOS,FRANCIA
1982,SEMIFINALES,FRANCIA
