Mundiales,Clasificatorias,Paises
2018,CUARTOS,INGLATERRA
2018,FASE GRUPO,INGLATERRA
2018,FINAL,INGLATERRA
2018,OCTAVOS,INGLATERRA
2018,SEMIFINALES,INGLATERRA
2014,FASE GRUPO,INGLATERRA
2010,FASE GRUPO,INGLATERRA
2010,OCTAVOS,INGLATERRA
2006,CUARTOS,INGLATERRA
2006,FASE GRUPO,INGLATERRA
2006,OCTAVOS,INGLATERRA
2002,CUARTOS,INGLATERRA
2002,FASE GRUPO,INGLATERRA
2002,OCTAVOS,INGLATERRA
1998,FASE GRUPO,INGLATERRA
1998,OCTAVOS,INGLATERRA
1994,NO CLASIFICO,INGLATERRA
1990,CUARTOS,INGLATERRA
1990,FASE GRUPO,INGLATERRA
1990,OCTAVOS,INGLATERRA
1990,SEMIFINALES,INGLATERRA
1986,CUARTOS,INGLATERRA
1986,FASE GRUPO,INGLATERRA
1986,OCTAVOS,INGLATERRA
1982,CUARTOS,INGLATERRA
1982,FASE GRUPO,INGLATERRA
1982,OCTAVOS,INGLATERRA
