Mundiales,Clasificatorias,Paises
2018,NO CLASIFICO,ITALIA
2014,FASE GRUPO,ITALIA
2010,FASE GRUPO,ITALIA
2006,CAMPEON,ITALIA
2006,CUARTOS,ITALIA
2006,FASE GRUPO,ITALIA
2006,FINAL,ITALIA
2006,OCTAVOS,ITALIA
2006,SEMIFINALES,ITALIA
2002,FASE GRUPO,ITALIA
2002,OCTAVOS,ITALIA
1998,CUARTOS,ITALIA
1998,FASE GRUPO,ITALIA
1998,OCTAVOS,ITALIA
1994,CUARTOS,ITALIA
1994,FASE GRUPO,ITALIA
1994,FINAL,ITALIA
1994,OCTAVOS,ITALIA
1994,SEMIFINALES,ITALIA
1990,CUARTOS,ITALIA
1990,FASE GRUPO,ITALIA
1990,OCTAVOS,ITALIA
1990,SEMIFINALES,ITALIA
1986,FASE GRUPO,ITALIA
1986,OCTAVOS,ITALIA
1982,CAMPEON,ITALIA
1982,CUARTOS,ITALIA
1982,FASE GRUPO,ITALIA
1982,FINAL,ITALIA
1982,OCTAVOS,ITALIA
1982,SEMIFINALES,ITALIA
