Mundiales,Clasificatorias,Paises
2018,NO CLASIFICO,PAISES BAJOS
2014,CUARTOS,PAISES BAJOS
2014,FASE GRUPO,PAISES BAJOS
2014,FINAL,PAISES BAJOS
2014,OCTAVOS,PAISES BAJOS
2014,SEMIFINALES,PAISES BAJOS
2010,CUARTOS,PAISES BAJOS
2010,FASE GRUPO,PAISES BAJOS
2010,FINAL,PAISES BAJOS
2010,OCTAVOS,PAISES BAJOS
2010,SEMIFINALES,PAISES BAJOS
2006,FASE GRUPO,PAISES BAJOS
2006,OCTAVOS,PAISES BAJOS
2002,NO CLASIFICO,PAISES BAJOS
1998,CUARTOS,PAISES BAJOS
1998,FASE GRUPO,PAISES BAJOS
1998,OCTAVOS,PAISES BAJOS
1998,SEMIFINALES,PAISES BAJOS
1994,CUARTOS,PAISES BAJOS
1994,FASE GRUPO,PAISES BAJOS
1994,OCTAVOS,PAISES BAJOS
1990,FASE GRUPO,PAISES BAJOS
1990,OCTAVOS,PAISES BAJOS
1986,NO CLASIFICO,PAISES BAJOS
1982,NO CLASIFICO,PAISES BAJOS
