Mundiales,Clasificatorias,Paises
1994,CAMPEON,BRASIL
1986,CAMPEON,ARGENTINA
1998,CAMPEON,FRANCIA
2018,CAMPEON,FRANCIA
1982,CAMPEON,ITALIA
2006,CAMPEON,ITALIA
2010,CAMPEON,ESPANA
1986,CUARTOS,BELGICA
2018,CUARTOS,BELGICA
1982,CUARTOS,BRASIL
1986,CUARTOS,BRASIL
1994,CUARTOS,BRASIL
1998,CUARTOS,BRASIL
2002,CUARTOS,BRASIL
2006,CUARTOS,BRASIL
2010,CUARTOS,BRASIL
2014,CUARTOS,BRASIL
2018,CUARTOS,BRASIL
1986,CUARTOS,ARGENTINA
1990,CUARTOS,ARGENTINA
1998,CUARTOS,ARGENTINA
2006,CUARTOS,ARGENTINA
2010,CUARTOS,ARGENTINA
2014,CUARTOS,ARGENTINA
1982,CUARTOS,FRANCIA
1986,CUARTOS,FRANCIA
1998,CUARTOS,FRANCIA
2006,CUARTOS,FRANCIA
2014,CUARTOS,FRANCIA
2018,CUARTOS,FRANCIA
1982,CUARTOS,INGLATERRA
1986,CUARTOS,INGLATERRA
1990,CUARTOS,INGLATERRA
2002,CUARTOS,INGLATERRA
2006,CUARTOS,INGLATERRA
2018,CUARTOS,INGLATERRA
1982,CUARTOS,ITALIA
1990,CUARTOS,ITALIA
1994,CUARTOS,ITALIA
1998,CUARTOS,ITALIA
2006,CUARTOS,ITALIA
1986,CUARTOS,ESPANA
1994,CUARTOS,ESPANA
2002,CUARTOS,ESPANA
2010,CUARTOS,ESPANA
1994,CUARTOS,PAISES BAJOS
1998,CUARTOS,PAISES BAJOS
2010,CUARTOS,PAISES BAJOS
2014,CUARTOS,PAISES BAJOS
2006,CUARTOS,PORTUGAL
1998,CUARTOS,DINAMARCA
1986,CUARTOS,MEXICO
1982,FASE GRUPO,BELGICA
1986,FASE GRUPO,BELGICA
1990,FASE GRUPO,BELGICA
1994,FASE GRUPO,BELGICA
2002,FASE GRUPO,BELGICA
2018,FASE GRUPO,BELGICA
1982,FASE GRUPO,BRASIL
1986,FASE GRUPO,BRASIL
1990,FASE GRUPO,BRASIL
1994,FASE GRUPO,BRASIL
1998,FASE GRUPO,BRASIL
2002,FASE GRUPO,BRASIL
2006,FASE GRUPO,BRASIL
2010,FASE GRUPO,BRASIL
2014,FASE GRUPO,BRASIL
2018,FASE GRUPO,BRASIL
1982,FASE GRUPO,ARGENTINA
1986,FASE GRUPO,ARGENTINA
1990,FASE GRUPO,ARGENTINA
1994,FASE GRUPO,ARGENTINA
1998,FASE GRUPO,ARGENTINA
2002,FASE GRUPO,ARGENTINA
2006,FASE GRUPO,ARGENTINA
2010,FASE GRUPO,ARGENTINA
2014,FASE GRUPO,ARGENTINA
2018,FASE GRUPO,ARGENTINA
1982,FASE GRUPO,FRANCIA
1986,FASE GRUPO,FRANCIA
1998,FASE GRUPO,FRANCIA
2006,FASE GRUPO,FRANCIA
2014,FASE GRUPO,FRANCIA
2018,FASE GRUPO,FRANCIA
1982,FASE GRUPO,INGLATERRA
1986,FASE GRUPO,INGLATERRA
1990,FASE GRUPO,INGLATERRA
1998,FASE GRUPO,INGLATERRA
2002,FASE GRUPO,INGLATERRA
2006,FASE GRUPO,INGLATERRA
2010,FASE GRUPO,INGLATERRA
2014,FASE GRUPO,INGLATERRA
2018,FASE GRUPO,INGLATERRA
1986,FASE GRUPO,ITALIA
1990,FASE GRUPO,PAISES BAJOS
1994,FASE GRUPO,PAISES BAJOS
1998,FASE GRUPO,PAISES BAJOS
2006,FASE GRUPO,PAISES BAJOS
2010,FASE GRUPO,PAISES BAJOS
2014,FASE GRUPO,PAISES BAJOS
1986,FASE GRUPO,PORTUGAL
2002,FASE GRUPO,PORTUGAL
2006,FASE GRUPO,PORTUGAL
2010,FASE GRUPO,PORTUGAL
2014,FASE GRUPO,PORTUGAL
2018,FASE GRUPO,PORTUGAL
1986,FASE GRUPO,DINAMARCA
1998,FASE GRUPO,DINAMARCA
2002,FASE GRUPO,DINAMARCA
2010,FASE GRUPO,DINAMARCA
2018,FASE GRUPO,DINAMARCA
1986,FASE GRUPO,MEXICO
1994,FASE GRUPO,MEXICO
1998,FASE GRUPO,MEXICO
2002,FASE GRUPO,MEXICO
2006,FASE GRUPO,MEXICO
2010,FASE GRUPO,MEXICO
2014,FASE GRUPO,MEXICO
2018,FASE GRUPO,MEXICO
1982,FASE GRUPO,ITALIA
1990,FASE GRUPO,ITALIA
1994,FASE GRUPO,ITALIA
1998,FASE GRUPO,ITALIA
2002,FASE GRUPO,ITALIA
2006,FASE GRUPO,ITALIA
2010,FASE GRUPO,ITALIA
2014,FASE GRUPO,ITALIA
1982,FASE GRUPO,ESPANA
1986,FASE GRUPO,ESPANA
1990,FASE GRUPO,ESPANA
1994,FASE GRUPO,ESPANA
1998,FASE GRUPO,ESPANA
2002,FASE GRUPO,ESPANA
2006,FASE GRUPO,ESPANA
2010,FASE GRUPO,ESPANA
2014,FASE GRUPO,ESPANA
2018,FASE GRUPO,ESPANA
1994,FINAL,BRASIL
1998,FINAL,BRASIL
2002,FINAL,BRASIL
1986,FINAL,ARGENTINA
1990,FINAL,ARGENTINA
2014,FINAL,ARGENTINA
1998,FINAL,FRANCIA
2006,FINAL,FRANCIA
2018,FINAL,FRANCIA
2018,FINAL,INGLATERRA
1982,FINAL,ITALIA
1994,FINAL,ITALIA
2006,FINAL,ITALIA
2010,FINAL,ESPANA
2010,FINAL,PAISES BAJOS
2014,FINAL,PAISES BAJOS
2006,NO CLASIFICO,BELGICA
2010,NO CLASIFICO,BELGICA
2014,NO CLASIFICO,BELGICA
1990,NO CLASIFICO,FRANCIA
1994,NO CLASIFICO,FRANCIA
2002,NO CLASIFICO,FRANCIA
2010,NO CLASIFICO,FRANCIA
2018,NO CLASIFICO,ITALIA
1994,NO CLASIFICO,INGLATERRA
1982,NO CLASIFICO,PAISES BAJOS
1986,NO CLASIFICO,PAISES BAJOS
2002,NO CLASIFICO,PAISES BAJOS
2018,NO CLASIFICO,PAISES BAJOS
1982,NO CLASIFICO,PORTUGAL
1990,NO CLASIFICO,PORTUGAL
1994,NO CLASIFICO,PORTUGAL
1998,NO CLASIFICO,PORTUGAL
1982,NO CLASIFICO,DINAMARCA
1990,NO CLASIFICO,DINAMARCA
1994,NO CLASIFICO,DINAMARCA
2006,NO CLASIFICO,DINAMARCA
2014,NO CLASIFICO,DINAMARCA
1982,NO CLASIFICO,MEXICO
1990,NO CLASIFICO,MEXICO
1982,OCTAVOS,BELGICA
1986,OCTAVOS,BELGICA
1990,OCTAVOS,BELGICA
1994,OCTAVOS,BELGICA
2002,OCTAVOS,BELGICA
2018,OCTAVOS,BELGICA
1982,OCTAVOS,BRASIL
1986,OCTAVOS,BRASIL
1990,OCTAVOS,BRASIL
1994,OCTAVOS,BRASIL
1998,OCTAVOS,BRASIL
2002,OCTAVOS,BRASIL
2006,OCTAVOS,BRASIL
2010,OCTAVOS,BRASIL
2014,OCTAVOS,BRASIL
2018,OCTAVOS,BRASIL
1982,OCTAVOS,FRANCIA
1986,OCTAVOS,FRANCIA
1998,OCTAVOS,FRANCIA
2006,OCTAVOS,FRANCIA
2014,OCTAVOS,FRANCIA
2018,OCTAVOS,FRANCIA
1982,OCTAVOS,INGLATERRA
1986,OCTAVOS,INGLATERRA
1990,OCTAVOS,INGLATERRA
1998,OCTAVOS,INGLATERRA
2002,OCTAVOS,INGLATERRA
2006,OCTAVOS,INGLATERRA
2010,OCTAVOS,INGLATERRA
2018,OCTAVOS,INGLATERRA
1982,OCTAVOS,ITALIA
1986,OCTAVOS,ITALIA
1990,OCTAVOS,ITALIA
1994,OCTAVOS,ITALIA
